game_name,title,view,dm,like,coin,collect,share,upload_date,url
使命召唤,【COD17捉迷藏集锦】被迫溜鬼,30.4万 ,1856,1.2万,1512,935,413,2021-02-10,https://www.bilibili.com/video/BV1ky4y1Y7a2
使命召唤,迪士尼、漫威、网飞重拳出击！COD先锋篡改历史？【ACG大事件】,30.0万 ,1162,1.4万,1560,1986,778,2021-11-14,https://www.bilibili.com/video/BV1xL4y1v7Kk
使命召唤,《使命召唤手游》论社会还得是你斑马哥！打急了就是满嘴国粹！（可能是幻听，毕竟我们这么文明~）,4229 ,3,117,4,5,3,2022-04-06,https://www.bilibili.com/video/BV193411H7Rs
使命召唤,【COD17捉迷藏】自行车爱好者？,29.9万 ,1836,1.2万,1411,796,254,2021-02-22,https://www.bilibili.com/video/BV1i54y1Y7vm
使命召唤,【steam每日资讯】steam史上最差评游戏《三国杀》下架|《使命召唤：战区2》公布|《师父SIFU》销量突破50万|EPIC下周免费领取《兄弟：双子传说》,10.5万 ,207,9176,450,269,275,2022-02-12,https://www.bilibili.com/video/BV1B3411j7a6
使命召唤,【COD17捉迷藏】超 离 谱 两 翼 张 开 ！,46.0万 ,1655,1.5万,1178,762,299,2021-02-16,https://www.bilibili.com/video/BV1CK4y1Q7T6
使命召唤,【COD17捉迷藏】躲猫猫必备技巧！“日”本 人！,49.4万 ,2249,1.8万,1854,1513,694,2021-02-13,https://www.bilibili.com/video/BV11K4y1n7m2
使命召唤,【COD17捉迷藏】拆 弹 专 家,25.0万 ,1842,1.2万,1368,867,864,2021-02-20,https://www.bilibili.com/video/BV1ni4y1T715
使命召唤,【COD17捉迷藏】在你脸上但就是找不到,86.3万 ,1215,3.1万,1687,2110,760,2021-02-07,https://www.bilibili.com/video/BV1bU4y1x7FY
使命召唤,《GTA6》无缝大地图曝光!TakeTwo专利曝光!曝《使命召唤》新作将采用新匹配机制，将增加新连杀奖励,3.6万 ,3,685,23,47,40,2022-02-28,https://www.bilibili.com/video/BV1s34y1k76e
使命召唤,10亿把枪？！最骚FPS无主之地3到底好玩在哪？为啥敢跟COD和战争机器正面硬刚？【游戏云测评#32】,35.1万 ,678,9241,4365,2034,4087,2019-09-10,https://www.bilibili.com/video/BV1VJ411K7Pg
使命召唤,【COD17捉迷藏】混入广告牌字母，郑汉老外一整年,47.7万 ,2262,1.6万,1667,1199,308,2021-02-28,https://www.bilibili.com/video/BV1DZ4y1A7Sz
使命召唤,【COD17捉迷藏】我头上有犄角,31.6万 ,1414,1.4万,1364,794,255,2021-02-21,https://www.bilibili.com/video/BV16i4y1T7T5
